Category,Symbol,Timeframe,Records,Start_Date,End_Date,Latest_Price
stocks,AAPL,1d,500,2023-09-29,2025-09-26,255.46
stocks,AAPL,1h,1113,2023-09-29,2024-01-09,185.23
stocks,MSFT,1d,500,2023-09-29,2025-09-26,511.46
stocks,MSFT,1h,1263,2023-09-29,2024-01-24,401.82
stocks,GOOGL,1d,500,2023-09-29,2025-09-26,246.5399932861328
stocks,GOOGL,1h,3480,2023-09-29,2025-09-26,246.5489959716797
stocks,AMZN,1d,500,2023-09-29,2025-09-26,219.77999877929688
stocks,AMZN,1h,3480,2023-09-29,2025-09-26,219.8000030517578
stocks,TSLA,1d,500,2023-09-29,2025-09-26,440.3999938964844
stocks,TSLA,1h,3480,2023-09-29,2025-09-26,440.4198913574219
stocks,META,1d,500,2023-09-29,2025-09-26,743.75
stocks,META,1h,3480,2023-09-29,2025-09-26,743.97998046875
stocks,NVDA,1d,500,2023-09-29,2025-09-26,178.19000244140625
stocks,NVDA,1h,3480,2023-09-29,2025-09-26,178.19000244140625
stocks,NFLX,1d,500,2023-09-29,2025-09-26,1210.6099853515625
stocks,NFLX,1h,3480,2023-09-29,2025-09-26,1210.1700439453125
indices,^GSPC,1d,500,2023-09-29,2025-09-26,6643.7001953125
indices,^GSPC,1h,3480,2023-09-29,2025-09-26,6643.5400390625
indices,^DJI,1d,500,2023-09-29,2025-09-26,46247.2890625
indices,^DJI,1h,3480,2023-09-29,2025-09-26,46247.890625
indices,^IXIC,1d,500,2023-09-29,2025-09-26,22484.0703125
indices,^IXIC,1h,3480,2023-09-29,2025-09-26,22485.357421875
indices,^RUT,1d,500,2023-09-29,2025-09-26,2434.320068359375
indices,^RUT,1h,3479,2023-09-29,2025-09-26,2433.8310546875
indices,^VIX,1d,500,2023-09-29,2025-09-26,15.289999961853027
indices,^VIX,1h,7112,2023-09-29,2025-09-26,15.289999961853027
